Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,SEO Title,SEO Description,Status
helix-sunset,Helix Sunset,<p>Plush pressure relief</p><ul><li>Soft comfort layers</li><li>Wrapped coil support</li><li>Pressure-relieving surface</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Soft, Side sleeper, priced",TRUE,Size,Twin,helix-sunset-twin,799,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-sunset-core-1.png,1,Helix Sunset | Discount Mattress Bowling Green,Helix Sunset from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-sunset,,,,,,,TRUE,Size,Twin XL,helix-sunset-twin-xl,899,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset,,,,,,,TRUE,Size,Full,helix-sunset-full,999,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset,,,,,,,TRUE,Size,Queen,helix-sunset-queen,1099,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset,,,,,,,TRUE,Size,King,helix-sunset-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-sunset,,,,,,,TRUE,Size,CA King,helix-sunset-ca-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight,Helix Moonlight,<p>Light contouring</p><ul><li>Soft feel</li><li>Balanced sink</li><li>Easy moving comfort</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-soft, priced",TRUE,Size,Twin,helix-moonlight-twin,799,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-moonlight-core-1.png,1,Helix Moonlight | Discount Mattress Bowling Green,Helix Moonlight from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-moonlight,,,,,,,TRUE,Size,Twin XL,helix-moonlight-twin-xl,899,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight,,,,,,,TRUE,Size,Full,helix-moonlight-full,999,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight,,,,,,,TRUE,Size,Queen,helix-moonlight-queen,1099,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight,,,,,,,TRUE,Size,King,helix-moonlight-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-moonlight,,,,,,,TRUE,Size,CA King,helix-moonlight-ca-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight,Helix Midnight,<p>Balanced support</p><ul><li>Medium feel</li><li>Motion isolation</li><li>Wrapped coil lift</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium, Best seller, priced",TRUE,Size,Twin,helix-midnight-twin,799,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-midnight-1.webp,1,Helix Midnight | Discount Mattress Bowling Green,Helix Midnight from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-midnight,,,,,,,TRUE,Size,Twin XL,helix-midnight-twin-xl,899,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight,,,,,,,TRUE,Size,Full,helix-midnight-full,999,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight,,,,,,,TRUE,Size,Queen,helix-midnight-queen,1099,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight,,,,,,,TRUE,Size,King,helix-midnight-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-midnight,,,,,,,TRUE,Size,CA King,helix-midnight-ca-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk,Helix Dusk,<p>Even support</p><ul><li>Responsive comfort</li><li>Durable edge support</li><li>Hybrid construction</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Medium-firm, priced",TRUE,Size,Twin,helix-dusk-twin,799,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-dusk-core-1.png,1,Helix Dusk | Discount Mattress Bowling Green,Helix Dusk from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-dusk,,,,,,,TRUE,Size,Twin XL,helix-dusk-twin-xl,899,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk,,,,,,,TRUE,Size,Full,helix-dusk-full,999,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk,,,,,,,TRUE,Size,Queen,helix-dusk-queen,1099,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk,,,,,,,TRUE,Size,King,helix-dusk-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-dusk,,,,,,,TRUE,Size,CA King,helix-dusk-ca-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn,Helix Dawn,<p>Traditional firm</p><ul><li>Firm top feel</li><li>Stable coil support</li><li>Low-profile contouring</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Firm, priced",TRUE,Size,Twin,helix-dawn-twin,799,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-dawn-core-1.png,1,Helix Dawn | Discount Mattress Bowling Green,Helix Dawn from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-dawn,,,,,,,TRUE,Size,Twin XL,helix-dawn-twin-xl,899,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn,,,,,,,TRUE,Size,Full,helix-dawn-full,999,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn,,,,,,,TRUE,Size,Queen,helix-dawn-queen,1099,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn,,,,,,,TRUE,Size,King,helix-dawn-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-dawn,,,,,,,TRUE,Size,CA King,helix-dawn-ca-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight,Helix Twilight,<p>Firm pressure relief</p><ul><li>Firm comfort surface</li><li>High-density foams</li><li>Hybrid lift</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Firm, priced",TRUE,Size,Twin,helix-twilight-twin,799,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-twilight-core-1.png,1,Helix Twilight | Discount Mattress Bowling Green,Helix Twilight from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-twilight,,,,,,,TRUE,Size,Twin XL,helix-twilight-twin-xl,899,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight,,,,,,,TRUE,Size,Full,helix-twilight-full,999,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight,,,,,,,TRUE,Size,Queen,helix-twilight-queen,1099,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight,,,,,,,TRUE,Size,King,helix-twilight-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-twilight,,,,,,,TRUE,Size,CA King,helix-twilight-ca-king,1449,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus,Helix Plus,<p>Extra supportive</p><ul><li>Higher density materials</li><li>Extra support layer</li><li>Reinforced edge feel</li></ul><p>Call to confirm current showroom availability.</p><p>D2C sale-reference pricing; verify current event promo before launch.</p>,Helix,,Mattress,"primary, helix, Mattress, Firm, Plus support, priced",TRUE,Size,Twin,helix-plus-twin,849,,,deny,manual,TRUE,TRUE,https://discountmattressbg.com/product-assets/helix/helix-plus-core-1.png,1,Helix Plus | Discount Mattress Bowling Green,Helix Plus from Helix. Call or visit Discount Mattress in Bowling Green for current availability and local pricing.,active
helix-plus,,,,,,,TRUE,Size,Twin XL,helix-plus-twin-xl,949,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus,,,,,,,TRUE,Size,Full,helix-plus-full,1049,,,deny,manual,TRUE,TRUE,,,,,active
helix-plus,,,,,,,TRUE,Size,Queen,helix-plus-queen,1199,,,deny,manual,TRUE,TRUE,,,,,active
